"50776","AVT 382","Digital Art and Animation","B01","Fairfax Campus","Jun 05, 2006 - Jul 27, 2006","MW","4:30 pm - 8:00 pm","Fine Arts Building DNU B206","Studio","Gail S White"
"50784","AVT 393","Field Experience in the Arts","X01","Fairfax Campus","May 22, 2006 - Aug 08, 2006"," ","TBA","TBA","Internship","TBA"
"50758","AVT 395","Writing for Artists","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MWF","7:00 pm - 10:00 pm","Enterprise Hall 277","Lecture","Laura Zam"
"50777","AVT 414","Graphic Info Design IV","B01","Fairfax Campus","Jun 05, 2006 - Jul 27, 2006","TR","12:00 pm - 3:30 pm","Innovation Hall 129","Studio","Donald H Starr"
"50763","AVT 422","Drawing III","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B111","Studio","Edward W Kravitz"
"50764","AVT 423","Drawing IV","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B111","Studio","Edward W Kravitz"
"50785","AVT 489","Internship in Art/Visual Tech","X01","Fairfax Campus","May 22, 2006 - Aug 08, 2006"," ","TBA","TBA","Internship","TBA"
"50815","AVT 491","Independent Study in AVT","X01","Fairfax Campus","May 22, 2006 - Aug 08, 2006"," ","TBA","TBA","Independent Study","TBA"
"50816","AVT 492","Independent Study in AVT","X01","Fairfax Campus","May 22, 2006 - Aug 08, 2006"," ","TBA","TBA","Independent Study","TBA"
"50765","AVT 522","Drawing V","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B111","Studio","Edward W Kravitz"
"50766","AVT 523","Drawing VI","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B111","Studio","Edward W Kravitz"
"50817","AVT 596","Independent Study","X01","Fairfax Campus","May 22, 2006 - Aug 08, 2006"," ","TBA","TBA","Independent Study","TBA"
"50818","AVT 670","Teaching Practicum","X01","Fairfax Campus","May 22, 2006 - Aug 08, 2006"," ","TBA","TBA","Internship","Natalie T Guerrieri"
